code,title,major_code
11,"Chief Executives, Senior Officials And Legislators",1
12,Administrative And Commercial Managers,1
13,Production And Specialized Services Managers,1
14,"Hospitality, Retail And Other Services Managers",1
21,Science And Engineering Professionals,2
22,Health Professionals,2
23,Teaching Professionals,2
24,Business And Administration Professionals,2
25,Information And Communication Technology Professionals,2
26,"Legal, Social And Cultural Professionals",2
31,Science And Engineering Associate Professionals,3
32,Health Associate Professionals,3
33,Business And Administration Associate Professionals,3
34,"Legal, Social, Cultural And Related Professionals",3
35,Information And Communications Technician,3
41,General And Keyboard Clerks,4
42,Customer Service Clerks,4
43,Numerical And Material Recording Clerks,4
44,Other Clerical Support Workers,4
51,Personal Service Workers,5
52,Sales Workers,5
53,Personal Care Workers,5
54,Proctective Services Workers,5
62,"Market-Oriented Skilled Forestry, Fishery And Hunting Workers",6
63,"Subsistence Farmers, Fishers, Hunter And Gatherers",6
71,"Building And Related Trades Workers, Excluding Electricians",7
72,"Metal, Machinery And Related Trades Workers",7
73,Handicraft And Printing Workers,7
74,Electrical And Electronics Trades Workers,7
75,"Food Processing, Wood Working, Garment And Other Craft And Related Trades Workers",7
81,Stationary Plant And Machine Operators,8
82,Assemblers,8
83,Drivers And Mobile Plant Operators,8
91,Cleaners And Helpers,9
92,"Agricultural, Forestry And Fishery Laborers",9
93,"Laborers In Mining, Construction, Manufacturing And Transport",9
94,Food Preparation Assistants,9
95,Street And Related Sales And Service Workers,9
96,Refuse Workers And Other Elementary Workers,9
